ÈÕÆÚ,AU100,AU9999,AU9995,AUTD,AUTN1,AUTN2
2015/1/5,240.5,240.25,237.5,230.66,270.55,242
2015/1/6,242.01,237,240.05,229.3,294.89,242.8
2015/1/7,243.4,236.58,241,225.66,294.89,242.8
2015/1/8,243,236.7,242.35,224.97,295.5,239.2
2015/1/9,242.9,238.2,243.09,225.02,274.81,239.65
2015/1/12,245.99,239.98,242.6,230.67,279,238.7
2015/1/13,247.19,237.45,242.75,227.3,290,240
2015/1/14,245.5,240.6,245.7,230.35,277,242.8
2015/1/15,245.6,240.55,247.25,228.6,263.1,240.8
2015/1/16,251.5,242.5,245.9,227.4,262.3,243.3
2015/1/19,255.79,243.2,245.05,234.3,252,243.5
2015/1/20,256,242.75,251.5,234.06,234.5,245.4
2015/1/21,260.3,242.93,255.7,235.2,235.7,246.2
2015/1/22,257.32,245.8,255.89,233.5,233.7,246
2015/1/23,259,247.31,260.25,235.5,235.8,245.5
2015/1/26,260.1,247.8,257.1,236.9,237.45,248.35
2015/1/27,257.99,245.1,259.6,236.8,237.5,249.1
2015/1/28,259.01,252,260,237.05,238,248.9
2015/1/29,257.51,255.8,257.9,236.05,237.8,248
2015/1/30,253.99,256,259.1,235.11,234.85,253.7
2015/2/2,257.6,260.3,257.1,228.51,229.4,257.3
2015/2/3,257.8,257.29,254.1,238.7,239.9,258.2
2015/2/4,255.98,259.8,257.31,237.7,238.8,263.5
2015/2/5,256.49,260.8,258.1,238.3,238.5,260.05
2015/2/6,255,258.4,254.75,238.9,239.8,262
2015/2/9,250.4,259.01,255.5,237,237.4,262.9
2015/2/10,251,257.5,254.9,240.17,240.7,261
2015/2/11,249,253.2,249.5,245.85,247.2,262.05
2015/2/12,246.75,257.5,250.2,243.05,246,260.55
2015/2/13,248,258.2,248.8,242.87,244.4,256.95
2015/2/16,249,254.7,245.65,242.82,243.9,260.5
2015/2/17,248.6,255.5,247.6,238.9,240.2,260.7
2015/2/25,245.65,254.91,248.4,238.95,240.95,256.95
2015/2/26,245.39,249.9,247,239.9,241.05,258.65
2015/2/27,245.7,250.3,244.42,240.51,242.5,256.75
2015/3/2,247.5,248.89,244.5,240.2,242,252.6
2015/3/3,245.67,245.95,244.6,236.7,238.7,253.35
2015/3/4,244.65,247.55,247.3,236.38,238.55,252.05
2015/3/5,244.1,248.6,244.85,236.44,238,249.9
2015/3/6,243.2,247.2,243.7,237.55,239.4,250.65
2015/3/9,238.4,244.52,242.7,239.78,241.65,251.1
2015/3/10,236,244.6,242.25,237.55,239.65,251.55
2015/3/11,236.35,244.84,237.2,240,241.7,248.35
2015/3/12,236,247.4,235,240.38,242.8,247.9
2015/3/13,235.5,245,235,242.23,243.35,248.2
2015/3/16,235.99,244.18,235.4,243.01,244.3,250.5
2015/3/17,234,243,234.05,242.4,244.5,248.5
2015/3/18,232,242.3,234.52,242.7,244.8,247.5
2015/3/19,235.5,237.5,233.2,245.7,247.4,247.05
2015/3/20,235.5,235.45,230.8,247.3,248,246.35
2015/3/23,237.6,235.3,234.5,246.15,247.1,241.4
2015/3/24,238.65,235.8,234.8,245.13,245.5,239
2015/3/25,238.2,234.35,236.85,251.65,252.6,240
2015/3/26,241.1,234.85,237.6,255.69,256.8,240
2015/3/27,241,233,238.1,255.82,257.6,237.3
2015/3/30,238.98,231,240.8,260.13,261.8,239.2
2015/3/31,236.5,234.5,240.6,257.1,258.25,237.5
2015/4/1,237.49,234.5,236.8,259.6,260.8,235.6
2015/4/2,240.59,236.65,235.8,260.15,261.65,239
2015/4/3,240,237.61,236.5,257.82,258.65,239.4
2015/4/7,241.5,238.2,240.65,258.95,260.9,240.7
2015/4/8,241.51,241,239.55,257.29,259.5,241.3
